,capacity
FR83,49.500105
FR81,5891.246716
FR82,185.212892
FR71,2597.633497
FR72,2114.198974
FR42,214.500454
FR62,3406.069206
FR61,0.000000
FR23,503.160352
FR22,0.000000
FR30,0.000000
FR63,0.000000
FR41,0.000000
FR25,0.000000
FR43,0.000000
FR52,0.000000
FR21,0.000000
FR26,0.000000
FR10,0.000000
FR53,0.000000
FR51,0.000000
FR24,0.000000
